,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
32,frozenset({3998011}),frozenset({3908011}),0.014546766049531137,0.005616047813691478,0.0018376670216054684,0.12632821723730814,22.494149164707963,0.0017559716879367176,1.1381664966240586
33,frozenset({3908011}),frozenset({3998011}),0.005616047813691478,0.014546766049531137,0.0018376670216054684,0.327217125382263,22.494149164707963,0.0017559716879367176,1.4647418522809244
34,frozenset({4472217}),frozenset({7351914}),0.0006354549513962834,0.0037096829595026277,0.0006182804932504379,0.972972972972973,262.2792792792793,0.0006159231568457115,36.86274173049848
35,frozenset({7351914}),frozenset({4472217}),0.0037096829595026277,0.0006354549513962834,0.0006182804932504379,0.16666666666666666,262.2792792792793,0.0006159231568457115,1.1992374540583244
36,frozenset({4552217}),frozenset({7351914}),0.000549582660667056,0.0037096829595026277,0.0005324082025212105,0.96875,261.14091435185185,0.0005303694250900958,31.881290145295917
37,frozenset({7351914}),frozenset({4552217}),0.0037096829595026277,0.000549582660667056,0.0005324082025212105,0.14351851851851852,261.14091435185185,0.0005303694250900958,1.1669258926772752
38,frozenset({7783784}),frozenset({4674761}),0.0031601002988355716,0.002713564387043589,0.0005324082025212105,0.16847826086956522,62.087438084755085,0.0005238330668908044,1.1993510075345357
39,frozenset({4674761}),frozenset({7783784}),0.002713564387043589,0.0031601002988355716,0.0005324082025212105,0.1962025316455696,62.08743808475509,0.0005238330668908044,1.2401630248250706
40,frozenset({4999530}),frozenset({6063159}),0.0045684058667949026,0.0029883557173771167,0.0005839315769587469,0.12781954887218044,42.77253478523896,0.0005702795551674112,1.1431254197378349
41,frozenset({6063159}),frozenset({4999530}),0.0029883557173771167,0.0045684058667949026,0.0005839315769587469,0.1954022988505747,42.77253478523895,0.0005702795551674112,1.2371792669941264
42,frozenset({5453386}),frozenset({7218011}),0.0035894617524817093,0.000858722907292275,0.000515233744375365,0.14354066985645933,167.15598086124402,0.0005121513913436595,1.1665951224155078
43,frozenset({7218011}),frozenset({5453386}),0.000858722907292275,0.0035894617524817093,0.000515233744375365,0.6,167.15598086124402,0.0005121513913436595,2.4910263456187955
44,frozenset({5453386}),frozenset({7248011}),0.0035894617524817093,0.0009789441143131935,0.0004293614536461375,0.11961722488038277,122.19004448921345,0.0004258475711899932,1.134757612391894
45,frozenset({7248011}),frozenset({5453386}),0.0009789441143131935,0.0035894617524817093,0.0004293614536461375,0.43859649122807015,122.19004448921345,0.0004258475711899932,1.774856271253392
46,frozenset({6696135}),frozenset({6656135}),0.00103046748875073,0.006886957716484045,0.0008243739910005839,0.7999999999999999,116.16159600997506,0.0008172772049773461,4.965565211417578
47,frozenset({6656135}),frozenset({6696135}),0.006886957716484045,0.00103046748875073,0.0008243739910005839,0.11970074812967581,116.16159600997506,0.0008172772049773461,1.1348067493966316
48,frozenset({6706135}),frozenset({6656135}),0.0009789441143131935,0.006886957716484045,0.000858722907292275,0.8771929824561403,127.37017106356915,0.0008519809605701991,8.086777630022912
49,frozenset({6656135}),frozenset({6706135}),0.006886957716484045,0.0009789441143131935,0.000858722907292275,0.12468827930174564,127.37017106356915,0.0008519809605701991,1.1413317476072946
50,frozenset({7596135}),frozenset({6656135}),0.0044825335760656755,0.006886957716484045,0.0020094116030639235,0.4482758620689655,65.0905494883481,0.001978540583862839,1.8000173891388727
51,frozenset({6656135}),frozenset({7596135}),0.006886957716484045,0.0044825335760656755,0.0020094116030639235,0.2917705735660848,65.0905494883481,0.001978540583862839,1.4056426198450622
52,frozenset({7636135}),frozenset({6656135}),0.0007385017002713564,0.006886957716484045,0.000515233744375365,0.6976744186046512,101.30371745055965,0.0005101477143920446,3.2849123706300913
53,frozenset({6656135}),frozenset({7636135}),0.006886957716484045,0.0007385017002713564,0.000515233744375365,0.07481296758104738,101.30371745055965,0.0005101477143920446,1.0800643148738307
54,frozenset({6696135}),frozenset({7596135}),0.00103046748875073,0.0044825335760656755,0.000515233744375365,0.5,111.54406130268198,0.0005106146392579958,1.9910349328478687
55,frozenset({7596135}),frozenset({6696135}),0.0044825335760656755,0.00103046748875073,0.000515233744375365,0.11494252873563218,111.54406130268198,0.0005106146392579958,1.128705835434788
56,frozenset({7596135}),frozenset({6706135}),0.0044825335760656755,0.0009789441143131935,0.000446535911791983,0.09961685823754789,101.75949452174495,0.0004421477619304822,1.1095510450475075
57,frozenset({6706135}),frozenset({7596135}),0.0009789441143131935,0.0044825335760656755,0.000446535911791983,0.45614035087719296,101.75949452174495,0.0004421477619304822,1.8304675995536857
58,frozenset({8791356}),frozenset({7141357}),0.005804966853295779,0.0009617696561673479,0.00046371036993782846,0.07988165680473373,83.0569526627219,0.00045812732896327135,1.085771452913876
59,frozenset({7141357}),frozenset({8791356}),0.0009617696561673479,0.005804966853295779,0.00046371036993782846,0.48214285714285715,83.0569526627219,0.00045812732896327135,1.919824891593636
60,frozenset({7218011}),frozenset({7248011}),0.000858722907292275,0.0009789441143131935,0.00041218699550029194,0.4799999999999999,490.32421052631565,0.0004113463537643723,1.9211943382417054
61,frozenset({7248011}),frozenset({7218011}),0.0009789441143131935,0.000858722907292275,0.00041218699550029194,0.4210526315789473,490.32421052631565,0.0004113463537643723,1.725789478614677
62,frozenset({7636135}),frozenset({7596135}),0.0007385017002713564,0.0044825335760656755,0.000515233744375365,0.6976744186046512,155.64287623630045,0.0005119233857079171,3.292865465863783
63,frozenset({7596135}),frozenset({7636135}),0.0044825335760656755,0.0007385017002713564,0.000515233744375365,0.11494252873563218,155.64287623630045,0.0005119233857079171,1.129035718858135
64,"frozenset({2716578, 3968011})",frozenset({3898011}),0.0010819908631882664,0.014134579054030845,0.00048088482808367395,0.4444444444444444,31.4437694073174,0.0004655913426922003,1.7745577577027445
65,"frozenset({2716578, 3898011})",frozenset({3968011}),0.0007728506165630474,0.01636725861299076,0.00048088482808367395,0.6222222222222222,38.01627608720998,0.00046823538217317717,2.603733727200907
66,"frozenset({3968011, 3898011})",frozenset({2716578}),0.003503589461752482,0.009033764984714733,0.00048088482808367395,0.1372549019607843,15.193543577126665,0.00044923422428327887,1.1486199542222624
67,frozenset({2716578}),"frozenset({3968011, 3898011})",0.009033764984714733,0.003503589461752482,0.00048088482808367395,0.053231939163498096,15.193543577126666,0.00044923422428327887,1.05252432117092
68,frozenset({3968011}),"frozenset({2716578, 3898011})",0.01636725861299076,0.0007728506165630474,0.00048088482808367395,0.029380902413431265,38.016276087209974,0.00046823538217317717,1.0294740252566652
69,frozenset({3898011}),"frozenset({2716578, 3968011})",0.014134579054030845,0.0010819908631882664,0.00048088482808367395,0.03402187120291616,31.4437694073174,0.0004655913426922003,1.0341000270686742
70,"frozenset({2716578, 3988011})",frozenset({3908011}),0.0016659224401470133,0.005616047813691478,0.00103046748875073,0.6185567010309279,110.1409249976355,0.0010211115886729627,2.6068984692451873
